153-78-6	Nc1ccc2c(Cc3ccccc23)c1
452-06-2	Nc1ncc2[nH]cnc2n1
613-13-8	Nc1ccc2cc3ccccc3cc2c1
4170-30-3	C\C=C/C=O
92-04-6	Oc1ccc(cc1Cl)c2ccccc2
693-07-2	CCSCCCl
95-48-7	Cc1ccccc1O
95-50-1	Clc1ccccc1Cl
53209-27-1	53209-27-1Did not work
362-05-0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2O
362-07-2	COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O
2682-20-4	[H+].[Cl-].CN1SC=CC1=O
90-43-7	Oc1ccccc1c2ccccc2
67-63-0	CC(C)O
1948-33-0	CC(C)(C)c1cc(O)ccc1O
55701-05-8	CC1(C)C(C=C(Cl)Cl)C1C(O)=O
83003-12-7	CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1
4339-71-3	Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1
51-24-1	[Na+].Oc1ccc(Oc2c(I)cc(CC([O-])=O)cc2I)cc1I
1968-05-4	C(c1c[nH]c2ccccc12)c3c[nH]c4ccccc34
155701-61-4	CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(\C=C\C(O)=O)cc3
14047-09-7	Clc1ccc(cc1Cl)N=Nc2ccc(Cl)c(Cl)c2
95896-78-9	Cn1c(N)nc2c3nc(C)cnc3cc(C)c12
3343-59-7	ON/C=C/1C=CC(=O)C(=C1)O
69839-83-4	ONC(=O)c1ccc(O)c(O)c1
4143-64-0	Oc1ccc(cc1O)C2=CC(=O)c3ccccc3O2
102-32-9	OC(=O)Cc1ccc(O)c(O)c1
10597-60-1	OCCc1ccc(O)c(O)c1
154453-18-6	OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24
81485-25-8	CC(C)=CCC\C(C)=C\CC\C(C)=C\C=C\C(C)=C\C(O)=O
577-85-5	OC1=C(Oc2ccccc2C1=O)c3ccccc3
5142-23-4	Cn1cnc(N)c2ncnc12
480-19-3	COc1cc(ccc1O)C2=C(O)C(=O)c3c(O)cc(O)cc3O2
892-21-7	[O-][N+](=O)c1ccc2c3ccccc3c4cccc1c24
504-88-1	OC(=O)CC[N+]([O-])=O
81790-82-1	Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)[C@@H](OC(=O)c4ccc(cc4)C(=O)c5ccccc5)[C@H]3O
108-38-3	Cc1cccc(C)c1
71441-28-6	C\C(=C/c1ccc(cc1)C(O)=O)c2ccc3c(c2)C(C)(C)CCC3(C)C
34284-75-8	NCCc1ccc(cc1)[S](F)(=O)=O
53005-05-3	O[S](=O)(=O)c1cc(ccc1\C=C\c2ccc(cc2[S](O)(=O)=O)N=C=S)N=C=S
96-69-5	Cc1cc(O)c(cc1Sc2cc(c(O)cc2C)C(C)(C)C)C(C)(C)C
106-44-5	Cc1ccc(O)cc1
31717-87-0	CC1CN(CC(C)O1)C2CCCCCCCCCCC2.CC(O)=O
106-46-7	Clc1ccc(Cl)cc1
1137-42-4	Oc1ccc(cc1)C(=O)c2ccccc2
2086-86-4	Oc1ccc(CN=C=S)cc1
79838-51-0	CCN(CC)CCOc1ccc(cc1)C(=C(Cl)\c2ccccc2)/c3ccc(O)cc3
5976-61-4	C[C@]12CC[C@H]3[C@@H](CCc4c(O)c(O)ccc34)[C@@H]1CC[C@@H]2O
611-36-9	O=C1C=CNc2ccccc12
64584-34-5	COc1cc(CC(C)N)c(OC)cc1I
